id,question,answer
119,What is one key aspect of Islamic Inheritance (Mīrāth)?,A key aspect of Islamic Inheritance (Mīrāth) is Qur'anic.
120,"Briefly define Hajj & ʿUmrah (Rites, Rules).","The term Hajj & ʿUmrah (Rites, Rules) refers to religious rites of the major and minor pilgrimage."
121,Which primary source discusses Jināyāt (Criminal law)?,The Qur'an and authentic Hadith extensively address Jināyāt (Criminal law).
122,What is one key aspect of Duʿāʾ & Dhikr?,A key aspect of Duʿāʾ & Dhikr is supplication.
123,Why is Prophets & Messengers important to Muslims?,Prophets & Messengers is important because it is mandated by Allah and shapes Muslim practice.
124,Which primary source discusses Prophets & Messengers?,The Qur'an and authentic Hadith extensively address Prophets & Messengers.
125,Why is Halāl & Harām Foods & Lifestyle important to Muslims?,Halāl & Harām Foods & Lifestyle is important because it is mandated by Allah and shapes Muslim practice.
126,Give an example related to Halāl & Harām Foods & Lifestyle.,"For example, observing halāl & harām foods & lifestyle in daily life."
127,What is one key aspect of Islamic Ethics (Akhlaq) & Character?,A key aspect of Islamic Ethics (Akhlaq) & Character is moral.
128,Which primary source discusses Islamic Inheritance (Mīrāth)?,The Qur'an and authentic Hadith extensively address Islamic Inheritance (Mīrāth).
129,Which primary source discusses Islamic Calendar & Sacred Months?,The Qur'an and authentic Hadith extensively address Islamic Calendar & Sacred Months.
130,Give an example related to Pillars of Īmān.,"For example, observing pillars of īmān in daily life."
131,Why is Ṣalāh (Prayer) important to Muslims?,Ṣalāh (Prayer) is important because it is the first deed judged on the Day of Resurrection.
132,Why is Jihād & Defensive Warfare important to Muslims?,Jihād & Defensive Warfare is important because it is mandated by Allah and shapes Muslim practice.
133,Why is Ṣawm (Fasting) important to Muslims?,Ṣawm (Fasting) is important because it is mandated by Allah and shapes Muslim practice.
134,Which primary source discusses Ṣawm (Fasting)?,The Qur'an and authentic Hadith extensively address Ṣawm (Fasting).
135,What is one key aspect of Eschatology?,A key aspect of Eschatology is teachings.
136,Which primary source discusses Muʿāmalāt (Transactions)?,The Qur'an and authentic Hadith extensively address Muʿāmalāt (Transactions).
137,What is one key aspect of ʿAhwāl al‑Shakhsiyyah (Family law)?,A key aspect of ʿAhwāl al‑Shakhsiyyah (Family law) is regulations.
138,Why is Islamic Calendar & Sacred Months important to Muslims?,Islamic Calendar & Sacred Months is important because it is mandated by Allah and shapes Muslim practice.
139,What is one key aspect of Tazkiyah / Tasawwuf?,A key aspect of Tazkiyah / Tasawwuf is spiritual.
140,Briefly define Tawḥīd (Oneness of God).,The term Tawḥīd (Oneness of God) refers to Islamic monotheism affirming that Allah is without partners.
141,Which primary source discusses Sīrah (Prophetic Biography)?,The Qur'an and authentic Hadith extensively address Sīrah (Prophetic Biography).
142,Briefly define Muʿāmalāt (Transactions).,The term Muʿāmalāt (Transactions) refers to Islamic rules for social and financial dealings.
143,Briefly define Sīrah (Prophetic Biography).,The term Sīrah (Prophetic Biography) refers to the life story of Prophet Muhammad ﷺ.
144,Why is Tazkiyah / Tasawwuf important to Muslims?,Tazkiyah / Tasawwuf is important because it is mandated by Allah and shapes Muslim practice.
145,Briefly define Duʿāʾ & Dhikr.,The term Duʿāʾ & Dhikr refers to supplication and remembrance of Allah.
146,"Which primary source discusses Hajj & ʿUmrah (Rites, Rules)?","The Qur'an and authentic Hadith extensively address Hajj & ʿUmrah (Rites, Rules)."
147,Which primary source discusses Ḥajj (Pilgrimage)?,The Qur'an and authentic Hadith extensively address Ḥajj (Pilgrimage).
148,Give an example related to Islamic Inheritance (Mīrāth).,"For example, observing islamic inheritance (mīrāth) in daily life."
149,Why is Islamic Inheritance (Mīrāth) important to Muslims?,Islamic Inheritance (Mīrāth) is important because it is mandated by Allah and shapes Muslim practice.
150,What is one key aspect of Ṣalāh (Prayer)?,A key aspect of Ṣalāh (Prayer) is the.
151,What is one key aspect of Jināyāt (Criminal law)?,A key aspect of Jināyāt (Criminal law) is Islamic.
152,Briefly define Purification (Ṭahārah).,The term Purification (Ṭahārah) refers to ritual cleanliness including wudū and ghusl.
153,What is one key aspect of Ḥadīth & Sunnah?,A key aspect of Ḥadīth & Sunnah is recorded.
154,What is one key aspect of Islamic Calendar & Sacred Months?,A key aspect of Islamic Calendar & Sacred Months is the.
155,Which primary source discusses Shahādah (Testimony of Faith)?,The Qur'an and authentic Hadith extensively address Shahādah (Testimony of Faith).
156,"Give an example related to Marriage, Divorce & Family Matters.","For example, observing marriage, divorce & family matters in daily life."
157,Which primary source discusses Islamic Festivals?,The Qur'an and authentic Hadith extensively address Islamic Festivals.
158,Briefly define Ḥadīth & Sunnah.,The term Ḥadīth & Sunnah refers to recorded sayings and actions of the Prophet ﷺ.
159,Why is Eschatology important to Muslims?,Eschatology is important because it is mandated by Allah and shapes Muslim practice.
160,"Which primary source discusses Marriage, Divorce & Family Matters?","The Qur'an and authentic Hadith extensively address Marriage, Divorce & Family Matters."
161,Which primary source discusses Qurʾān Studies?,The Qur'an and authentic Hadith extensively address Qurʾān Studies.
162,What is one key aspect of Zakāh (Almsgiving)?,A key aspect of Zakāh (Almsgiving) is the.
163,Briefly define ʿAhwāl al‑Shakhsiyyah (Family law).,"The term ʿAhwāl al‑Shakhsiyyah (Family law) refers to regulations of marriage, divorce, and custody."
164,"Why is Marriage, Divorce & Family Matters important to Muslims?","Marriage, Divorce & Family Matters is important because it is mandated by Allah and shapes Muslim practice."
165,Briefly define Islamic Finance & Halāl Earnings.,"The term Islamic Finance & Halāl Earnings refers to interest‑free, ethical economic principles."
166,Give an example related to Duʿāʾ & Dhikr.,"For example, observing duʿāʾ & dhikr in daily life."
167,Briefly define Islamic Ethics (Akhlaq) & Character.,The term Islamic Ethics (Akhlaq) & Character refers to moral conduct prescribed in Islam.
168,"What is one key aspect of Hajj & ʿUmrah (Rites, Rules)?","A key aspect of Hajj & ʿUmrah (Rites, Rules) is religious."
169,Why is Sīrah (Prophetic Biography) important to Muslims?,Sīrah (Prophetic Biography) is important because it is mandated by Allah and shapes Muslim practice.
170,Give an example related to Ibadāt (Worship).,"For example, observing ibadāt (worship) in daily life."
171,Which primary source discusses Islamic Finance & Halāl Earnings?,The Qur'an and authentic Hadith extensively address Islamic Finance & Halāl Earnings.
172,Briefly define Ḥajj (Pilgrimage).,The term Ḥajj (Pilgrimage) refers to the once‑in‑a‑lifetime pilgrimage to Makkah for those able.
173,Give an example related to Islamic Ethics (Akhlaq) & Character.,"For example, observing islamic ethics (akhlaq) & character in daily life."
174,What is one key aspect of Pillars of Īmān?,A key aspect of Pillars of Īmān is the.
175,Which primary source discusses Pillars of Īmān?,The Qur'an and authentic Hadith extensively address Pillars of Īmān.
177,Give an example related to Eschatology.,"For example, observing eschatology in daily life."
178,Briefly define Qurʾān Studies.,The term Qurʾān Studies refers to the sciences and interpretation of the Qur'an.
179,"Briefly define Angels, Jinn & Unseen Matters.","The term Angels, Jinn & Unseen Matters refers to belief in unseen beings created by Allah."
180,Give an example related to Zakāh (Almsgiving).,"For example, giving 2.5% of surplus wealth to the needy."
181,Briefly define Ṣalāh (Prayer).,The term Ṣalāh (Prayer) refers to the five daily obligatory prayers.
182,What is one key aspect of History of the Four Rightly‑Guided Caliphs?,A key aspect of History of the Four Rightly‑Guided Caliphs is the.
183,Give an example related to History of the Four Rightly‑Guided Caliphs.,"For example, observing history of the four rightly‑guided caliphs in daily life."
184,Why is Sharīʿah & Fiqh important to Muslims?,Sharīʿah & Fiqh is important because it is mandated by Allah and shapes Muslim practice.
185,Briefly define Sharīʿah & Fiqh.,The term Sharīʿah & Fiqh refers to divine law and its human understanding.
186,Briefly define Zakāh (Almsgiving).,The term Zakāh (Almsgiving) refers to the obligatory charity of 2.5 % on qualifying wealth.
187,Briefly define Islamic Festivals.,The term Islamic Festivals refers to celebrations like ʿĪd al‑Fiṭr and ʿĪd al‑Aḍḥā.
188,Briefly define Halāl & Harām Foods & Lifestyle.,The term Halāl & Harām Foods & Lifestyle refers to permissible and forbidden consumables and practices.
189,Give an example related to Ṣalāh (Prayer).,"For example, performing the Fajr prayer at dawn."
190,Why is Islamic Ethics (Akhlaq) & Character important to Muslims?,Islamic Ethics (Akhlaq) & Character is important because it is mandated by Allah and shapes Muslim practice.
191,"Give an example related to Hajj & ʿUmrah (Rites, Rules).","For example, observing hajj & ʿumrah (rites, rules) in daily life."
192,Why is Muʿāmalāt (Transactions) important to Muslims?,Muʿāmalāt (Transactions) is important because it is mandated by Allah and shapes Muslim practice.
193,Which primary source discusses ʿAhwāl al‑Shakhsiyyah (Family law)?,The Qur'an and authentic Hadith extensively address ʿAhwāl al‑Shakhsiyyah (Family law).
194,Which primary source discusses Sharīʿah & Fiqh?,The Qur'an and authentic Hadith extensively address Sharīʿah & Fiqh.
195,"Which primary source discusses Angels, Jinn & Unseen Matters?","The Qur'an and authentic Hadith extensively address Angels, Jinn & Unseen Matters."
196,Why is Zakāh (Almsgiving) important to Muslims?,Zakāh (Almsgiving) is important because it is mandated by Allah and shapes Muslim practice.
197,Why is Ibadāt (Worship) important to Muslims?,Ibadāt (Worship) is important because it is mandated by Allah and shapes Muslim practice.
198,Which primary source discusses Ibadāt (Worship)?,The Qur'an and authentic Hadith extensively address Ibadāt (Worship).
199,"Give an example related to Angels, Jinn & Unseen Matters.","For example, observing angels, jinn & unseen matters in daily life."
200,What is one key aspect of Tawḥīd (Oneness of God)?,A key aspect of Tawḥīd (Oneness of God) is affirming Allah alone deserves worship.
201,Why is Tawḥīd (Oneness of God) important to Muslims?,Tawḥīd (Oneness of God) is important because it forms the basis of all worship.
202,Which primary source discusses Zakāh (Almsgiving)?,The Qur'an and authentic Hadith extensively address Zakāh (Almsgiving).
203,Briefly define Ṣawm (Fasting).,"The term Ṣawm (Fasting) refers to abstaining from food, drink, and sin during Ramadan's daylight hours."
204,What is one key aspect of Islamic Finance & Halāl Earnings?,"A key aspect of Islamic Finance & Halāl Earnings is interest‑free,."
205,Give an example related to Sīrah (Prophetic Biography).,"For example, observing sīrah (prophetic biography) in daily life."
206,Which primary source discusses Purification (Ṭahārah)?,The Qur'an and authentic Hadith extensively address Purification (Ṭahārah).
207,Give an example related to Islamic Calendar & Sacred Months.,"For example, observing islamic calendar & sacred months in daily life."
208,What is one key aspect of Ṣawm (Fasting)?,A key aspect of Ṣawm (Fasting) is abstaining.
209,Which primary source discusses Tazkiyah / Tasawwuf?,The Qur'an and authentic Hadith extensively address Tazkiyah / Tasawwuf.
210,Give an example related to ʿAhwāl al‑Shakhsiyyah (Family law).,"For example, observing ʿahwāl al‑shakhsiyyah (family law) in daily life."
211,Give an example related to Shahādah (Testimony of Faith).,"For example, observing shahādah (testimony of faith) in daily life."
212,Give an example related to Jināyāt (Criminal law).,"For example, observing jināyāt (criminal law) in daily life."
213,What is one key aspect of Shahādah (Testimony of Faith)?,A key aspect of Shahādah (Testimony of Faith) is pronouncing it with sincerity.
214,Give an example related to Ḥadīth & Sunnah.,"For example, observing ḥadīth & sunnah in daily life."
215,What is one key aspect of Sīrah (Prophetic Biography)?,A key aspect of Sīrah (Prophetic Biography) is the.
216,Which primary source discusses Ṣalāh (Prayer)?,The Qur'an and authentic Hadith extensively address Ṣalāh (Prayer).
217,Why is ʿAhwāl al‑Shakhsiyyah (Family law) important to Muslims?,ʿAhwāl al‑Shakhsiyyah (Family law) is important because it is mandated by Allah and shapes Muslim practice.
218,"Briefly define Marriage, Divorce & Family Matters.","The term Marriage, Divorce & Family Matters refers to family relations and rights in Islam."
219,Why is Jināyāt (Criminal law) important to Muslims?,Jināyāt (Criminal law) is important because it is mandated by Allah and shapes Muslim practice.
220,Give an example related to Qurʾān Studies.,"For example, observing qurʾān studies in daily life."
221,Briefly define Eschatology.,The term Eschatology refers to teachings on the Last Day and afterlife.
222,Which primary source discusses Ḥadīth & Sunnah?,The Qur'an and authentic Hadith extensively address Ḥadīth & Sunnah.
223,What is one key aspect of Islamic Festivals?,A key aspect of Islamic Festivals is celebrations.
224,What is one key aspect of Jihād & Defensive Warfare?,A key aspect of Jihād & Defensive Warfare is lawful.
225,Which primary source discusses History of the Four Rightly‑Guided Caliphs?,The Qur'an and authentic Hadith extensively address History of the Four Rightly‑Guided Caliphs.
226,Briefly define Tazkiyah / Tasawwuf.,The term Tazkiyah / Tasawwuf refers to spiritual purification aiming for ihsān.
227,What is one key aspect of Qurʾān Studies?,A key aspect of Qurʾān Studies is the.
228,Which primary source discusses Tawḥīd (Oneness of God)?,The Qur'an and authentic Hadith extensively address Tawḥīd (Oneness of God).
229,Give an example related to Purification (Ṭahārah).,"For example, observing purification (ṭahārah) in daily life."
230,Briefly define Ibadāt (Worship).,The term Ibadāt (Worship) refers to ritual acts directed solely to Allah.
231,Give an example related to Islamic Finance & Halāl Earnings.,"For example, observing islamic finance & halāl earnings in daily life."
232,Why is Purification (Ṭahārah) important to Muslims?,Purification (Ṭahārah) is important because it is mandated by Allah and shapes Muslim practice.
233,Give an example related to Ḥajj (Pilgrimage).,"For example, observing ḥajj (pilgrimage) in daily life."
234,Briefly define Shahādah (Testimony of Faith).,The term Shahādah (Testimony of Faith) refers to the declaration that there is no deity but Allah and Muhammad is His messenger.
235,What is one key aspect of Muʿāmalāt (Transactions)?,A key aspect of Muʿāmalāt (Transactions) is Islamic.
236,Which primary source discusses Islamic Ethics (Akhlaq) & Character?,The Qur'an and authentic Hadith extensively address Islamic Ethics (Akhlaq) & Character.
237,Which primary source discusses Jihād & Defensive Warfare?,The Qur'an and authentic Hadith extensively address Jihād & Defensive Warfare.
238,Why is Ḥadīth & Sunnah important to Muslims?,Ḥadīth & Sunnah is important because it is mandated by Allah and shapes Muslim practice.
240,What is one key aspect of Prophets & Messengers?,A key aspect of Prophets & Messengers is narratives.
241,Why is Pillars of Īmān important to Muslims?,Pillars of Īmān is important because it is mandated by Allah and shapes Muslim practice.
242,What is one key aspect of ʿAqīdah (Belief)?,A key aspect of ʿAqīdah (Belief) is belief in Allah's oneness.
243,Briefly define Pillars of Īmān.,The term Pillars of Īmān refers to the six articles of faith.
244,Give an example related to Tawḥīd (Oneness of God).,"For example, observing tawḥīd (oneness of god) in daily life."
245,Briefly define Jināyāt (Criminal law).,The term Jināyāt (Criminal law) refers to Islamic legal provisions for crimes and punishments.
246,Give an example related to Sharīʿah & Fiqh.,"For example, observing sharīʿah & fiqh in daily life."
247,Which primary source discusses Eschatology?,The Qur'an and authentic Hadith extensively address Eschatology.
248,Briefly define History of the Four Rightly‑Guided Caliphs.,"The term History of the Four Rightly‑Guided Caliphs refers to the era of Abū Bakr, ʿUmar, ʿUthmān, and ʿAlī."
249,Why is History of the Four Rightly‑Guided Caliphs important to Muslims?,History of the Four Rightly‑Guided Caliphs is important because it is mandated by Allah and shapes Muslim practice.
250,What is one key aspect of Purification (Ṭahārah)?,A key aspect of Purification (Ṭahārah) is ritual.
251,What is one key aspect of Halāl & Harām Foods & Lifestyle?,A key aspect of Halāl & Harām Foods & Lifestyle is permissible.
252,Give an example related to Prophets & Messengers.,"For example, observing prophets & messengers in daily life."
253,Why is Qurʾān Studies important to Muslims?,Qurʾān Studies is important because it is mandated by Allah and shapes Muslim practice.
254,Why is Islamic Festivals important to Muslims?,Islamic Festivals is important because it is mandated by Allah and shapes Muslim practice.
255,Briefly define Jihād & Defensive Warfare.,The term Jihād & Defensive Warfare refers to lawful struggle including armed defense under conditions.
256,Which primary source discusses Halāl & Harām Foods & Lifestyle?,The Qur'an and authentic Hadith extensively address Halāl & Harām Foods & Lifestyle.
257,Give an example related to Ṣawm (Fasting).,"For example, fasting during the month of Ramadan."
258,Which primary source discusses Duʿāʾ & Dhikr?,The Qur'an and authentic Hadith extensively address Duʿāʾ & Dhikr.
259,"What is one key aspect of Marriage, Divorce & Family Matters?","A key aspect of Marriage, Divorce & Family Matters is family."
260,Give an example related to Jihād & Defensive Warfare.,"For example, observing jihād & defensive warfare in daily life."
261,Which hadith mentions that cleanliness is half of faith?,"The Prophet ﷺ said, “Purity is half of faith” recorded in Sahih Muslim."
262,What materials are allowed for tayammum?,Tayammum may be performed with clean earth or dust when water is unavailable.
263,How is ghusl different from wudūʾ?,"Ghusl is a full‑body wash mandatory after major impurity like marital relations or menstruation, unlike partial wudūʾ."
264,Name a Qur’anic verse that commands purification.,"Qur’an 5:6 instructs believers to wash limbs before prayer, establishing wudūʾ."
265,What invalidates wudūʾ?,"Acts such as passing wind, deep sleep, or toilet use invalidate wudūʾ and necessitate renewal."
266,Why is Ṭahārah important before prayer?,"Ṭahārah is a prerequisite for ṣalāh, ensuring physical and spiritual cleanliness before standing before Allah."
267,Give an example of ritual impurity requiring ghusl.,"After marital relations, a Muslim must perform ghusl before praying."
268,What is wudūʾ and when is it required?,"Wudūʾ is the minor ablution washing face, arms, head, and feet, required before prayer and Qur’an recitation."
269,Briefly define Ṭahārah in Islam.,"Ṭahārah is the ritual purification required before acts of worship, removing physical and spiritual impurities."
270,State the significance of niyyah in Ṭahārah.,The intention (niyyah) is essential for purification acts to be valid in Islam.
271,When is a time Duʿāʾ is most likely accepted?,Duʿāʾ is especially accepted in the last third of the night when Allah descends to the lowest heaven.
272,State one etiquette of making Duʿāʾ.,Facing the qiblah is an etiquette that shows humility and focus during Duʿāʾ.
273,Which Qur’anic verse encourages remembrance of Allah?,"Qur’an 33:41 says, “O you who believe, remember Allah with much remembrance.”"
274,Why is Dhikr important for the heart?,Dhikr softens and tranquillizes the heart by keeping the remembrance of Allah alive.
275,How many times is ‘Subḥān Allāh’ recited after the obligatory prayer?,It is recited thirty‑three times as part of the post‑prayer tasbīḥ.
276,Name a hadith that describes the power of Dhikr.,The Prophet ﷺ likened the one who remembers Allah to the living and the heedless one to the dead (Sahih Bukhari).
277,Give an example of a dhikr phrase taught by the Prophet ﷺ.,"Saying “Subḥān Allāh, Al‑ḥamdu lillāh, Allāhu akbar” thirty‑three times each after prayer is a prophetic dhikr."
278,Briefly define Duʿāʾ in Islam.,Duʿāʾ is a personal supplication in which a Muslim calls upon Allah for help or forgiveness.
279,Which supplication protects from the evil eye?,Reciting Surah Al‑Falaq and Surah An‑Nās as ruqyah protects against the evil eye.
280,What is the meaning of 'Astaghfirullāh'?,It means ‘I seek forgiveness from Allah’ and is a concise istighfār phrased by the Prophet ﷺ.
281,Under what conditions is Islamic Calendar & Sacred Months?,Islamic Calendar & Sacred Months is a core concept in Islam.
282,Identify a core principle of Ṣalāh (Prayer)?,Ṣalāh (Prayer) is a core concept in Islam.
283,Mention a hadith regarding Tazkiyah / Tasawwuf (Spiritual Purification)?,Tazkiyah / Tasawwuf (Spiritual Purification) is a core concept in Islam.
284,What is meant by Pillars of Islām?,Pillars of Islām is a core concept in Islam.
285,Briefly define Halāl & Harām Foods & Lifestyle?,Halāl & Harām Foods & Lifestyle refers to permissible foods and actions and those forbidden.
286,Explain why Ḥajj (Pilgrimage)?,Ḥajj (Pilgrimage) is a core concept in Islam.
287,State a benefit of Islamic Finance & Halāl Earnings?,Islamic Finance & Halāl Earnings is a core concept in Islam.
288,At what point does Islamic Calendar & Sacred Months?,Islamic Calendar & Sacred Months is a core concept in Islam.
289,Mention a hadith regarding Shahādah (Testimony of Faith)?,Shahādah (Testimony of Faith) is a core concept in Islam.
290,Provide one benefit of Islamic Inheritance (Mīrāth)?,Islamic Inheritance (Mīrāth) benefits a believer by increasing taqwā (God‑consciousness).
291,Mention a hadith regarding Pillars of Īmān?,Pillars of Īmān is a core concept in Islam.
292,Mention a hadith regarding Ḥajj (Pilgrimage)?,Ḥajj (Pilgrimage) is a core concept in Islam.
293,Define Islamic Finance & Halāl Earnings?,Islamic Finance & Halāl Earnings is a core concept in Islam.
294,State a benefit of Jihād & Defensive Warfare?,Jihād & Defensive Warfare is a core concept in Islam.
295,State a benefit of Duʿāʾ & Dhikr (Supplication & Remembrance)?,Duʿāʾ & Dhikr (Supplication & Remembrance) is a core concept in Islam.
296,Explain Shahādah (Testimony of Faith)?,Shahādah (Testimony of Faith) is a core concept in Islam.
297,When is Purification (Ṭahārah)?,Purification (Ṭahārah) becomes obligatory once its specific conditions are met by a Muslim.
298,Name one hadith that highlights Pillars of Īmān?,The Prophet ﷺ emphasized pillars of īmān in an authentic hadith recorded in Sahih Bukhari.
299,State a virtue of Shahādah (Testimony of Faith)?,Shahādah (Testimony of Faith) is a core concept in Islam.
300,"List one benefit of Islamic Festivals (ʿĪd al-Fiṭr, ʿĪd al-Aḍḥā, Ashūrāʾ, Mawlid)?","Islamic Festivals (ʿĪd al-Fiṭr, ʿĪd al-Aḍḥā, Ashūrāʾ, Mawlid) is a core concept in Islam."
301,When is Ṣalāh (Prayer)?,Ṣalāh (Prayer) becomes obligatory once its specific conditions are met by a Muslim.
302,Provide one benefit of Pillars of Īmān?,Pillars of Īmān benefits a believer by increasing taqwā (God‑consciousness).
303,Discuss why Ṣawm (Fasting)?,Ṣawm (Fasting) is a core concept in Islam.
304,State the ruling on Halāl & Harām Foods & Lifestyle?,Halāl & Harām Foods & Lifestyle is a core concept in Islam.
305,Give an example related to Halāl & Harām Foods & Lifestyle?,"For example, practicing permissible embodies halāl & harām foods & lifestyle."
306,Name one virtue associated with Islamic Calendar & Sacred Months?,Practicing islamic calendar & sacred months cultivates sincerity and obedience to Allah.
307,Provide an example of Duʿāʾ & Dhikr (Supplication & Remembrance)?,Duʿāʾ & Dhikr (Supplication & Remembrance) is a core concept in Islam.
308,Name one virtue associated with Prophets & Messengers (Qasas al-Anbiyāʾ)?,Practicing prophets & messengers (qasas al-anbiyāʾ) cultivates sincerity and obedience to Allah.
309,What is the ruling regarding Purification (Ṭahārah)?,Purification (Ṭahārah) is obligatory for every accountable Muslim under defined conditions.
310,Why is Jihād & Defensive Warfare?,Jihād & Defensive Warfare is important because it is commanded by Allah and shapes a Muslim's faith and practice.
311,Mention a key element of Jihād & Defensive Warfare?,Jihād & Defensive Warfare is a core concept in Islam.
312,Discuss why Zakāh (Almsgiving)?,Zakāh (Almsgiving) is a core concept in Islam.
313,Give an example related to Islamic Calendar & Sacred Months?,"For example, practicing the embodies islamic calendar & sacred months."
314,"Define Marriage, Divorce & Family Matters?","Marriage, Divorce & Family Matters is a core concept in Islam."
315,Which Qur’anic verse mentions Zakāh (Almsgiving)?,Surah Al-Baqarah 2:177 alludes to principles within zakāh (almsgiving).
316,"State the ruling on Islamic Festivals (ʿĪd al-Fiṭr, ʿĪd al-Aḍḥā, Ashūrāʾ, Mawlid)?","Islamic Festivals (ʿĪd al-Fiṭr, ʿĪd al-Aḍḥā, Ashūrāʾ, Mawlid) is a core concept in Islam."
317,Identify a Qur’anic verse that relates to Islamic Finance & Halāl Earnings?,Islamic Finance & Halāl Earnings is a core concept in Islam.
318,"Discuss why Eschatology (Signs of the Last Day, Barzakh, Resurrection, Paradise & Hell)?","Eschatology (Signs of the Last Day, Barzakh, Resurrection, Paradise & Hell) is a core concept in Islam."
319,Cite a hadith about Halāl & Harām Foods & Lifestyle?,Halāl & Harām Foods & Lifestyle is a core concept in Islam.
320,Under what conditions is Ṣawm (Fasting)?,Ṣawm (Fasting) is a core concept in Islam.
321,At what point does Ṣalāh (Prayer)?,Ṣalāh (Prayer) is a core concept in Islam.
322,Discuss why Halāl & Harām Foods & Lifestyle?,Halāl & Harām Foods & Lifestyle is a core concept in Islam.
323,"List one benefit of Marriage, Divorce & Family Matters?","Marriage, Divorce & Family Matters is a core concept in Islam."
324,Provide one benefit of Ṣalāh (Prayer)?,Ṣalāh (Prayer) benefits a believer by increasing taqwā (God‑consciousness).
325,Name a Qur’anic passage about Prophets & Messengers (Qasas al-Anbiyāʾ)?,Prophets & Messengers (Qasas al-Anbiyāʾ) is a core concept in Islam.
326,State the ruling on Ṣawm (Fasting)?,Ṣawm (Fasting) is a core concept in Islam.
327,"Cite an example concerning Marriage, Divorce & Family Matters?","Marriage, Divorce & Family Matters is a core concept in Islam."
328,Under what conditions is Purification (Ṭahārah)?,Purification (Ṭahārah) is a core concept in Islam.
329,"State the ruling on Angels, Jinn & Unseen Matters?","Angels, Jinn & Unseen Matters is a core concept in Islam."
330,Briefly define Islamic Finance & Halāl Earnings?,Islamic Finance & Halāl Earnings refers to interest-free and ethically compliant economic dealings.
331,Mention a hadith regarding Islamic Inheritance (Mīrāth)?,Islamic Inheritance (Mīrāth) is a core concept in Islam.
332,Cite an example concerning Shahādah (Testimony of Faith)?,Shahādah (Testimony of Faith) is a core concept in Islam.
333,Define Halāl & Harām Foods & Lifestyle?,Halāl & Harām Foods & Lifestyle is a core concept in Islam.
334,What is the ruling regarding Ḥajj (Pilgrimage)?,Ḥajj (Pilgrimage) is obligatory for every accountable Muslim under defined conditions.
335,When is Jihād & Defensive Warfare?,Jihād & Defensive Warfare becomes obligatory once its specific conditions are met by a Muslim.
